obs # ,,video,camera,year,month,day,start time,time,focal bat,bat infected,behavior (letter),comment,
1 to x,scorer,file path on hard drive,"channel number (e.g. ""2"" for CH02)",year of video,month of video,day of video,AKA focal hour,00:30-60:00 (s),Bat ID (see bat key),T/F,see behavior key in project plan key,e.g don't know if self or social grooming,
82,Michael A,CH02_2019-07-15_19_37_12__19_45_35.mp4,2,2019,07,15,19,4100,blx,T,g,,
83,Michael A,CH02_2019-07-15_19_37_12__19_45_35.mp4,2,2019,07,15,19,4130,blx,T,g,,
84,Michael A,CH02_2019-07-15_19_37_12__19_45_35.mp4,2,2019,07,15,19,4200,blx,T,g,,
85,Michael A,CH02_2019-07-15_19_37_12__19_45_35.mp4,2,2019,07,15,19,4230,blx,T,g,,
86,Michael A,CH02_2019-07-15_19_37_12__19_45_35.mp4,2,2019,07,15,19,4300,blx,T,g,,
87,Michael A,CH02_2019-07-15_19_37_12__19_45_35.mp4,2,2019,07,15,19,4330,blx,T,g,,
88,Michael A,CH02_2019-07-15_19_37_12__19_45_35.mp4,2,2019,07,15,19,4400,blx,T,g,,
89,Michael A,CH02_2019-07-15_19_37_12__19_45_35.mp4,2,2019,07,15,19,4430,blx,T,g,,
90,Michael A,CH02_2019-07-15_19_37_12__19_45_35.mp4,2,2019,07,15,19,4500,blx,T,g,,
91,Michael A,CH02_2019-07-15_19_45_35__19_53_57.mp4,2,2019,07,15,19,4530,blx,T,g,,
92,Michael A,CH02_2019-07-15_19_45_35__19_53_57.mp4,2,2019,07,15,19,4600,blx,T,g,,
93,Michael A,CH02_2019-07-15_19_45_35__19_53_57.mp4,2,2019,07,15,19,4630,blx,T,g,,
94,Michael A,CH02_2019-07-15_19_45_35__19_53_57.mp4,2,2019,07,15,19,4700,blx,T,g,,
95,Michael A,CH02_2019-07-15_19_45_35__19_53_57.mp4,2,2019,07,15,19,4730,blx,T,g,,
96,Michael A,CH02_2019-07-15_19_45_35__19_53_57.mp4,2,2019,07,15,19,4800,blx,T,g,,
97,Michael A,CH02_2019-07-15_19_45_35__19_53_57.mp4,2,2019,07,15,19,4830,blx,T,g,,
98,Michael A,CH02_2019-07-15_19_45_35__19_53_57.mp4,2,2019,07,15,19,4900,blx,T,g,,
99,Michael A,CH02_2019-07-15_19_45_35__19_53_57.mp4,2,2019,07,15,19,4930,blx,T,m,,
100,Michael A,CH02_2019-07-15_19_45_35__19_53_57.mp4,2,2019,07,15,19,5000,blx,T,m,,
101,Michael A,CH02_2019-07-15_19_45_35__19_53_57.mp4,2,2019,07,15,19,5030,blx,T,r,,
102,Michael A,CH02_2019-07-15_19_45_35__19_53_57.mp4,2,2019,07,15,19,5100,blx,T,g,,
103,Michael A,CH02_2019-07-15_19_45_35__19_53_57.mp4,2,2019,07,15,19,5130,blx,T,m,,
104,Michael A,CH02_2019-07-15_19_45_35__19_53_57.mp4,2,2019,07,15,19,5200,blx,T,r,,
